narrative,market_cap,volume,ret_7d,ret_30d,sma_7,sma_30,bb_width,vol_30d,cluster_id,future_ret_30d
ai,429025.6786967368,98131.86783688,-0.1404561824729892,-0.2366737739872069,0.0015482857142857143,0.0017479333333333335,0.08733503715528793,0.09135304575836513,3,0.7096466093600764
meme,43779.35909040602,0.0,0.0,0.0,5.6197142857142854e-05,5.618133333333333e-05,0.0004037381924390979,0.00035595842672167766,0,0.0
meme,0.0,0.0,0.12499999999999978,-0.10000000000000009,8.142857142857144e-09,9.066666666666667e-09,0.0873775017396572,0.04553469992657405,0,0.5
ai,740307.4385026348,163686.90592548,-0.025389025389025432,-0.13075237399561712,0.0011475714285714286,0.0012416333333333332,0.0695271413643183,0.05288215929110424,0,0.3385826771653544
ai,68647558.75081113,3966338.47137762,-0.07269653423499578,0.16751809280544916,0.11167142857142856,0.10880266666666667,0.09889447769771544,0.09123482321679688,0,0.41804550155118925
rwa,0.0,10895.32608374,-0.24605543710021316,-0.42259960809928154,0.002311000000000002,0.0031338000000000004,0.24818018051250404,0.12928890787646474,3,0.7662337662337664
rwa,637766933.469257,1413083.52979739,0.0009149130832570851,0.01109057301293892,1.0930000000000002,1.0914333333333335,0.0010230441022531318,0.0016867032591157756,0,-0.0018248175182481452
meme,10713.38125761948,0.0,0.0,0.0,1.5002857142857142e-05,1.5000333333333334e-05,0.0002626896584778546,0.00024759386496645805,0,0.0
ai,0.0,73990.95740674,-0.03993203058623618,-0.14035755039939146,0.2422,0.2561366666666667,0.061686670610475544,0.041422851546827996,0,0.26186487995533225
meme,761143.4336675239,108899.67256626,-0.02189054726368167,-0.07088846880907373,0.10054571428571428,0.100323,0.07217597453522022,0.07576533748041497,0,0.422575976845152
gaming,21145.648448466487,82181.24732628,0.11544991511035652,-0.11574697173620463,6.071428571428572e-06,6.9719999999999995e-06,0.1312718570921215,0.053973468328894894,0,0.553191489361702
meme,0.0,60703.61231518,0.11111111111111116,0.0,9.42857142857143e-10,9.433333333333334e-10,0.03663475485322678,0.027756057919698412,0,0.6666666666666667
gaming,48179658.0187487,695247.797407,0.26687245685421646,0.22626646747249768,0.8190571428571429,0.7808500000000002,0.1947422927838713,0.1783358883216486,0,-0.14091341579448136
meme,79033.93759817556,0.0,0.0,0.0,8.052285714285714e-05,8.050200000000001e-05,0.0003786702620607435,0.0003389997069437642,0,-0.0001242081728977107
gaming,353042.0652788426,287891.62944395,-0.11256830601092893,-0.20973236009732354,0.0017702857142857143,0.0019765,0.0932492575011622,0.059326043145420046,3,0.8707522174864646
meme,21838.822409620483,24.40842833,0.0,0.0,4.351142857142857e-05,4.350133333333333e-05,0.0003623304902650124,0.0003415088796822995,0,0.0
meme,0.0,0.0,-0.10434782608695659,-0.03738317757009346,1.0860000000000001e-05,1.1027e-05,0.04052098200802424,0.05775019015612073,0,-0.08849557522123896
meme,66973.91353000965,0.0,-0.05999999999999994,-0.09615384615384603,0.004815714285714286,0.005363400000000001,0.08903149879009613,0.03809276413757824,0,-0.05999999999999994
ai,32079569.722833227,329405.78172356,0.0007757951900699833,-0.0038610038610038533,0.1289,0.12911333333333333,0.0015006295218509057,0.0010786793381945864,0,-0.016018306636155555
ai,0.0,0.0,0.016441821247892063,-0.10070869078701972,0.22845714285714286,0.25379666666666667,0.0999435743577,0.06850122935524028,0,0.3560179977502811
meme,779305.5858869614,99732.9259911,0.006375369304929102,0.020820189274447953,66.15714285714286,68.33,0.05058676906014504,0.042405067040792103,2,-0.17025641025641025
gaming,553258.7131760635,0.0,-0.01179820992676972,0.07051564565888069,0.4904857142857143,0.49479999999999996,0.026458371552249525,0.034198224734065266,0,0.6296544783629656
meme,0.0,0.0,0.02696985721840295,-0.10050949513663743,0.019305714285714287,0.021182333333333334,0.06242826377405736,0.034999345251241834,0,0.04184549356223166
meme,0.0,0.0,0.0,0.0,2.27e-06,2.27e-06,0.0,0.0,0,0.0
meme,108605.3164528754,76.4044525,0.0,0.0,1.9005714285714288e-05,1.900066666666667e-05,0.0004147731185791966,0.00039093787171458235,0,0.0
ai,0.0,79311.88501642,-0.011508176862507491,0.07086614173228356,0.0016475714285714286,0.0016621,0.026447432198436725,0.03416299039286578,0,0.6142433234421365
meme,145363.0,2.18,-0.13889010385085798,-0.4456500338369007,0.00015516807796734286,0.00020454432927957997,0.13079635678774928,0.07521916787504307,3,0.037915273980685615
meme,32344937.490763705,2864978.31411913,-0.04411764705882337,-0.015151515151515138,6.328571428571429e-07,7.866666666666667e-07,0.18019505677588582,0.09476472532418523,0,0.38297872340425543
meme,0.0,100235.22442521,-0.1781662066850659,-0.6300897170462387,0.0005667714285714287,0.0009162766666666667,0.36619035181312215,0.11827235536958593,3,-0.3760186263096623
meme,239985596.04441923,26852921.4298545,-0.061954887218045096,-0.11967259384702233,0.003153857142857143,0.003519366666666667,0.1282055366067378,0.0685348054300306,3,0.15049797122832898
gaming,0.0,22972.30230777,0.0009460737937558861,0.027184466019417375,0.00010477142857142857,0.00010580000000000001,0.022556422827317194,0.01601924655480999,0,1.3898802800993901
meme,0.0,6065.01977285,0.21017202692595371,0.0722332670642809,0.0001428285714285714,0.00014678666666666665,0.06405520536562713,0.09470957989915486,0,0.3327841845140034
gaming,34921549.863268524,7816967.39834421,-0.028898854010961594,-0.04273084479371325,0.40198571428571434,0.41587999999999997,0.05298908485025514,0.06193963935344301,0,0.18121212121212116
rwa,119944.212426528,0.0,0.0008733624454146938,0.027188527039139432,0.34054285714285715,0.34386,0.022571337327382007,0.016101979802516195,0,-0.024957458876914473
meme,0.0,0.0,-0.08510638297872342,-0.18095238095238086,8.785714285714286e-07,1.0533333333333333e-06,0.18916733027151758,0.08497927277000993,3,-0.11340206185567014
ai,0.0,83281.98443022,0.0,0.0,6e-08,6e-08,0.0,0.0,0,0.0
meme,0.0,4187.51231765,0.0,0.0,2e-09,2e-09,0.0,0.0,0,0.0
gaming,0.0,96371.60571512,-0.06999538745387457,-0.1267864876569944,8.795571428571428e-05,7.8346e-05,0.14268053512853388,0.0931708430739041,3,-0.16433530204123925
gaming,0.0,82904.35688141,-0.09999999999999998,0.125,9.285714285714285e-08,9.466666666666667e-08,0.05584718777223882,0.05989953333658519,0,0.0
meme,426961.9463332082,0.0,0.03988995873452539,-0.03242320819112632,2.1925714285714286,2.3199,0.03988866168802562,0.03182405087557235,0,-0.007874015748031593
gaming,77363319.89308186,12183682.61355177,-0.07977059436913458,-0.2172949002217296,0.1805142857142857,0.20762666666666665,0.09819026304800003,0.05134010096024126,3,0.2031356509884117
rwa,426710.75092408975,66584.81223808,-0.060733613950691545,0.08698677800974264,0.001605142857142857,0.0016934333333333334,0.06717270763173068,0.04372722568776136,0,0.25461847389558234
rwa,1158715.3923709523,858996.93691079,-0.12276127429951555,-0.1779357045455091,0.21727963681064782,0.26465299724119645,0.13967395769105925,0.07730391860363063,3,0.44329758547535936
ai,0.0,78614.51623997,-0.014053231858173532,-0.7004305789056595,0.0003662512936057857,0.0005737934634309834,0.34503511695217715,0.1466605679714751,3,-0.15096038984821136
meme,26778003.522815105,4449308.98842405,-0.07962154581491121,-0.3421297019440963,4.301457897354887e-08,5.0943517974303914e-08,0.1257115883489082,0.05480646170093456,3,0.14721219136368147
meme,125447.0,2952.95,-0.10043611390931317,-0.1974854827169037,0.00010340451445429248,0.00020753450172140164,0.8352337240980392,1.324307446220309,1,-0.27352573984463446
ai,1570640.0,4980.86,-0.025632398012988777,-0.3862881917151484,0.03695623809622626,0.04407007246156667,0.07418514659778055,0.043084478299884425,3,1.38279717698747
ai,0.0,53431.0,-0.0735341301751371,-0.6665531454783923,0.011396082833481314,0.027872904370592803,1.0294900940857998,0.13108939910466672,3,1.4324773461357871
meme,108812.0,115.48,-0.014606949086763299,-0.12702031993232743,2.6148050393324144e-13,2.841668427144598e-13,0.07102407599714682,0.023962417562200765,0,-0.002743484489872494
gaming,5078962.0,1445890.0,0.028221264880608166,-0.05471432103632223,0.3889318638185119,0.3781434140616391,0.0518016776440617,0.03341886242717402,0,0.15505054312487299
meme,105063.0,100.43,0.0078925321736667,-0.2059431821149531,0.00014698869492102857,0.00017519046479609,0.1335798740792264,0.03642406630255097,0,0.05303079537004973
ai,0.0,48700.0,-0.15475749620007595,-0.30907838842874735,3.6699846855477296,4.167039557753614,0.10753305219374219,0.05769502713049421,3,0.34327989836578876
