id,symbol,name,narrative,price,volume,market_cap
whinecoin,whinecoin,whinecoin,meme,0.00014413,3179.68,144091.0
chaisavings,chai,CHAISavings,meme,0.00014403,993.34,144026.0
deli-fm,delifm,DELI FM,meme,0.00016001,39.65,143978.0
freecz,freecz,FreeCZ,meme,0.00014386,36.35,143862.0
harambecoin,harambe,HarambeCoin,meme,1.44289e-07,1.16,143737.0
pico-2,$pico,Pico,meme,0.00014327,129.09,143390.0
krasnalcoin,kc,Krasnalcoin,meme,0.00014628,686.7,143193.0
cypherspace,cypher,Cypherspace,meme,0.00014231,131570.0,143070.0
ghislaine-network,ghsi,Ghislaine Network,meme,0.00014307,950.52,143067.0
sacabam,scb,Sacabam,meme,3.569e-09,139.3,142571.0
spike-on-eth,spike,Spike,meme,3.58195e-07,1171.6,141824.0
make,make,MAKE,meme,0.00141733,12.6,141733.0
low-quality-cat,lqc,Low Quality Cat,meme,0.00028499,49345.0,141355.0
watcoin,wat,WATCoin,meme,1.094e-05,1107420.0,140990.0
chips-2,chips,Chips,meme,0.0001508,361.33,140834.0
the-martian-dog,marvin,The Martian Dog,meme,3.33529e-07,48144.0,140313.0
doge-mascot-shibu,shibu,Doge Mascot Shibu,meme,0.00014011,906.4,140091.0
pepe-the-king-prawn,prawn,Pepe the King Prawn,meme,0.00013977,189283.0,139768.0
boss-burger,bossburger,Boss Burger,meme,0.00013912,20280.0,139141.0
wheester,wheee,Wheester,meme,3.3e-06,2260.33,138581.0
zapcat,zapcat,ZAPCAT,meme,0.00013851,1687.47,138553.0
agent-zero,$wsb,Agent Zero,meme,0.00659481,1420.57,138491.0
rex-3,rex,Rex,meme,0.00014551,300.43,138475.0
izzy-2,izzy,Izzy,meme,0.00014069,2890.75,138190.0
sniff,$sniff,SNIFF,meme,0.0001424,56.37,138105.0
goatseus-maximus-on-eth,goat,Goatseus Maximus,meme,1.38e-06,45985.0,137868.0
frog-on-eth,frog,Frog on ETH,meme,3.31657e-07,10.77,137817.0
sister,sstr,SISTER,meme,1.374e-05,2.34,137139.0
book-of-rugs,book of rugs,BOOK OF RUGS,meme,0.00015675,3332.84,136959.0
