id,symbol,name,narrative,price,volume,market_cap
xyradao-by-virtuals,xyra,XyraDAO by VIRTUALS,ai,2.085e-05,10.42,10211.37
alice,alice,Alice,ai,1.051e-05,39.11,10100.97
rivusdao,rivus,RivusDAO,ai,3.296e-05,36.87,9712.96
zalpha,zalpha,ZALPHA,ai,9.59e-06,10.56,9506.43
samsara-build,sams,Samsara.Build,ai,9.433e-05,1.27,9433.21
moongate-fun,mgtai,Moongate Fun,ai,1.95e-06,2.96,9328.42
cortexzero,cortexzero,CortexZero,ai,9.26e-06,2.98,9257.07
waifu-3,waifu,WaiFU,ai,9.43e-06,19.28,9044.81
claude-3,mcp,Claude,ai,8.74e-06,93.26,8739.5
neuro-paranoid,neuro,Neuro Paranoid,ai,8.72e-06,2.42,8721.69
sudo-labs,sudo,Sudo Labs,ai,0.00848104,21.64,8481.04
eoniq,eoniq,EonIQ,ai,8.166e-05,55.73,8165.68
flare-ai,flare,Flare AI,ai,8.07e-06,162.07,8070.26
digger-ai,diggai,DIGGER AI,ai,8.01e-06,163.98,8001.42
trump-ai-2,$trumpai,Trump AI,ai,7.9e-06,7.13,7896.8
xerox-player-agent,xerai,Xerox Player Agent,ai,7.86e-06,4.89,7851.67
pivot-ai,$pivot,Pivot AI,ai,7.564e-05,28.04,7564.35
typen,typen,Typen,ai,7.79e-06,3.27,7546.08
ascia,ascia,ASCIA,ai,7.45e-06,2.31,7439.8
ethforestai,ethfai,ETHforestAI,ai,3.0714e-07,31.95,6918.77
alchemist-accelerate,alch,Alchemist Accelerate,ai,6.03e-06,11.77,6627.98
grid-protocol,grid,Grid Protocol,ai,8.61e-06,4.61,6627.04
the-new-genesis,gen,The New Genesis,ai,6.85e-06,11.64,6562.8
rapid-fun,rapid,Rapid.fun,ai,6.31e-06,15.1,6300.36
alice-3,alice,Alice,ai,6e-06,3.54,5996.08
chatxzi-by-ai,cxzi,chatXZI by AI,ai,6.18e-06,10.9,5620.76
roboflux,$rfq,RoboFlux,ai,5.391e-05,34.93,5390.94
ainalyzr,ainal,AInalyzr,ai,5.62e-06,55.19,5289.59
nodev-ai,nodev,NoDev AI,ai,5.3e-06,148.97,5280.98
zenmemory-ai,zmen,ZenMemory AI,ai,5.23e-06,1.92,5232.61
buildr,bldr,Buildr,ai,4.9e-06,127.2,4900.86
memecast-ai,mcai,MEMECAST.AI,ai,4.82e-06,48.17,4816.66
context-layer,cxlyr,Context Layer,ai,6.75e-06,1190.71,4562.32
clonex-ai,clx,CloneX AI,ai,0.00015632,6.12,4116.6
cypher-ai-2,cypher,Cypher AI,ai,3.849e-05,52.69,3848.85
hyperseed,hpr,HyperSeed,ai,4.615e-05,6.84,3844.15
rna-2,sn117,RNA,ai,3460.65,142.42,3460.65
sugarbounce,sugarb,SugarBlock,ai,2.157e-05,25.6,3308.15
buyai,bai,Buyai,ai,2.849e-05,2.95,2848.72
mirada-ai,mirx,Mirada AI,ai,3.764e-05,50.26,2628.63
solmev,sn116,SolMev,ai,2398.72,51.1,2398.72
cognify,sn115,Cognify,ai,1762.47,55.65,1762.47
frens-ai,fren,Frens.ai,ai,0.00031024,15.09,829.12
omegax-health,omegax,OmegaX Health,ai,0.00106078,13858.57,0.0
destra-network,dsync,Destra Network,ai,0.112915,1229601.0,0.0
neurowebai,neuro,NeuroWeb,ai,0.0159398,184272.0,0.0
qu3ai,qu3,QU3ai,ai,0.00836775,20567.0,0.0
aventis-ai,aai,Aventis AI,ai,0.05169,204.11,0.0
addon-ai,addon,AddOn Ai,ai,0.00063084,7.78,0.0
balance-ai,bai,Balance AI,ai,0.222994,77.78,0.0
gptverse,gptv,GPTVerse,ai,0.000771,111762.0,0.0
avil,avil,AVIL,ai,4.253e-05,1.84,0.0
archai,archai,ArchAI,ai,0.00379914,373523.0,0.0
zkcrypt-ai,zkai,ZKCrypt AI,ai,0.04268597,12399.59,0.0
ai-waifu-2,wai,AI Waifu,ai,0.088661,48814.0,0.0
iris-ecosystem,iristoken,Iris Ecosystem,ai,0.00303377,8075.07,0.0
nimoai,nimo,NimoAI,ai,1.68e-06,4.24,0.0
infinity-ground,ain,Infinity Ground,ai,0.073679,47474869.0,0.0
open-gpu,ogpu,OPEN GPU,ai,0.175351,255073.0,0.0
the-next-gem-ai,gemai,The Next Gem AI,ai,0.0004631,47706.0,0.0
privateai,pgpt,PrivateAI,ai,0.01031966,28963.0,0.0
securechain-ai-2,scai,SecureChain AI,ai,0.00087927,922.15,0.0
argocoin,wagc,Wrapped AGC,ai,0.03021479,2165.57,0.0
bridge-oracle,brg,Bridge AI,ai,0.00010715,93854.0,0.0
aither,aither,Aither,ai,0.00013072,1013.62,0.0
aid,aid,AID,ai,0.358553,1667.35,0.0
legend-2,legend,Legend,ai,7.918e-05,48727.0,0.0
pitch-lucy-ai,lucyai,Pitch Lucy AI,ai,9.987e-05,1427.3,0.0
vuzzmind,vuzz,VuzzMind,ai,0.00042008,5.67,0.0
grindery-x,gx,Grindery X,ai,0.00056397,108219.0,0.0
reflectionai,rect,ReflectionAI,ai,0.00599743,306111.0,0.0
wachxbt,wach,WachXBT,ai,0.00359434,81950.0,0.0
aurk-ai,aurk,Aurk AI,ai,0.00366374,337.0,0.0
sora-ai,sora,Sora AI,ai,0.00029886,61176.0,0.0
fractrade,frac,FRACTRADE,ai,0.065219,364.61,0.0
bonzai-depin,bonzai,BonzAI DePIN,ai,0.183726,10.64,0.0
gracy,gracy,Gracy,ai,0.02041148,35685.0,0.0
functionland,fula,Functionland,ai,0.0033355,264.54,0.0
faircaster,fair,Faircaster,ai,1.237e-05,36377.0,0.0
ora-protocol,olm,OpenLM RevShare Token,ai,0.00052511,51009.0,0.0
quant-ai,qai,Quant AI,ai,5.5643e-08,6.96,0.0
din,din,DIN,ai,0.058832,367693.0,0.0
wrapped-hypertensor,tensor,Wrapped Hypertensor,ai,14.04,11625.76,0.0
quantum-2,q,Quantum,ai,0.00376568,62629.0,0.0
purple-ai,pai,Purple AI,ai,0.051846,12.04,0.0
aisweatshop,defai,AISweatShop,ai,0.00653858,101.9,0.0
matrix-one,matrix,Matrix One,ai,3.949e-05,74262.0,0.0
aiccelerate,aicc,Aiccelerate,ai,0.00067941,1341.93,0.0
elis,xls,ELIS,ai,0.00250992,33918.0,0.0
imgnai,imgnai,imgnAI,ai,0.00446875,388.8,0.0
bubsy-ai,bubsy,Bubsy AI,ai,0.00956756,9018.78,0.0
suia,suia,SUIA,ai,0.00317617,47.95,0.0
chad-4,chad/sol,CHAD,ai,0.00010323,1776.81,0.0
symbaiex,symx,SYMBaiEX,ai,0.00010356,777.97,0.0
xllm2,xllm2,xLLM2,ai,9.483e-05,296.59,0.0
robostack,robot,RoboStack,ai,0.00075079,6458.71,0.0
quantlytica,qtlx,Quantlytica,ai,0.02731915,96798.0,0.0
project-ailey,ale,Project Ailey,ai,0.543367,3804019.0,0.0
goatindex-ai,aiai,GoatIndex.ai,ai,0.00048731,103.97,0.0
wienerai,wai,WienerAI,ai,5.89e-06,43184.0,0.0
defi-agents-ai,defai,DeFi Agents AI,ai,0.00011938,41.87,0.0
cipher-protocol,cipher,Cipher Protocol,ai,0.00012392,1154.05,0.0
vectorspace,vaix,Vectorspace AI X,ai,0.03086029,17787.16,0.0
appduck-by-virtuals,duck,AppDuck by Virtuals,ai,0.00025903,670.87,0.0
baron-von-whiskers,baron,Baron Von Whiskers,ai,2.952e-05,177.02,0.0
hypercycle,hypc,HyperCycle,ai,0.03321861,10027.01,0.0
murasaki,mura,Murasaki,ai,0.15112,12447.47,0.0
ttai,ttai,TTAI,ai,0.00023701,160347.0,0.0
gaimin,gmrx,Gaimin,ai,0.00012149,100096.0,0.0
fx1sports,fxi,FX1Sports,ai,0.00313289,4025.68,0.0
nfinityai,nfnt,nfinityAI,ai,0.01174299,2536.93,0.0
nimbus-ai,nai,Nimbus AI,ai,2.263e-05,359.63,0.0
ai-meta-club,amc,AI Meta Club,ai,0.409068,163200.0,0.0
agii,agii,AGII,ai,2.231e-05,151311.0,0.0
xhashtag,xtag,xHashtag,ai,0.01253593,91857.0,0.0
mia-2,mia,MIA,ai,0.068401,145011.0,0.0
cryptoai,cai,CryptoAI,ai,0.00031119,31.88,0.0
truebit-protocol,tru,Truebit Protocol,ai,0.133939,161420.0,0.0
trace-network-labs,trace,Trace Network Labs,ai,9.252e-05,63.18,0.0
gpt-wars,gptw,GPT Wars,ai,0.00018392,1568.97,0.0
universal-operating-system-2,$uos,Universal Operating System,ai,4.28,10461.69,0.0
nexa-2,nxa,Nexa,ai,0.097622,26755.0,0.0
aivalanche-defai-agents,avaxai,AIvalanche DeFAI Agents,ai,0.00015158,379097.0,0.0
assemble-protocol,asm,Assemble AI,ai,0.01335073,200059.0,0.0
ai-protocol-2,ai,AI Protocol,ai,0.151818,0.0,0.0
bad-coin,badai,BAD Coin [OLD],ai,0.000157,21.8,0.0
alice-2,alice,Alice,ai,0.04303893,13443.22,0.0
staked-tao-root,sn0,Staked TAO (Root),ai,321.64,47785032.0,0.0
virtu-network,virtu,Virtu Network,ai,0.00074094,33.08,0.0
meshchain-coin,mcc,MeshChain Coin,ai,0.01390284,213.77,0.0
imonster-ai,imon,iMonster Ai,ai,,,
trader-2,trader,TRADER,ai,,,
kvants-ai,kvai,Kvants AI,ai,,,
promptale-ai,tale,PrompTale AI,ai,,,
blockfi,bfi,BlockFi,ai,,,
neurocheck,neuro,NeuroCheck,ai,,,
cogni-ai,cogni,COGNI AI,ai,,,
acurast,acu,Acurast,ai,,,
codatta,xny,Codatta,ai,,,
astrena-ai,rena,Astrena AI,ai,,,
opz,opz,OPZ,ai,,,
intenet,int,InteNet,ai,,,
zoey-your-longevity-coach-by-netmind-xyz,nml,zoey - your longevity coach by NetMind XYZ,ai,,0.0,
boom-2,boom,Boom,ai,,,
aishare,aishare,AIShare,ai,,,
dtelecom,dtel,dTelecom,ai,,,
gata,gata,GATA,ai,,,
uomi,uomi,UOMI,ai,,,
soundsright,sn105,SoundsRight,ai,,,
